"lake","site","date","chla_mgm3_top","DRP_mgm3_bottom","DRP_mgm3_top","NH4_mgm3_bottom","NH4_mgm3_top","NNN_mgm3_bottom","NNN_mgm3_top","secchi_m","TN_mgm3_bottom","TN_mgm3_top","TP_mg_m3_bottom","TP_mgm3_top","turb_NTU_bottom","turb_NTU_top","pH_bottom","pH_top","chla_mgm3_bottom","datetime"
"Rotoehu","3",2005-01-18,8.4,37,20,18,3,2,1,2.8,283,397,52,50,NA,NA,7.6,8.2,NA,2005-01-17 12:00:00
"Rotoehu","3",2005-02-22,19.5,64,44,151,22,NA,5,1.5,801,654,105,84,6.5,8.7,8,8.4,NA,2005-02-21 12:00:00
"Rotoehu","3",2005-03-22,7.2,41,34,65,12,5,3,1.3,433,523,55,63,2.2,7.1,7.6,7.9,NA,2005-03-21 12:00:00
"Rotoehu","3",2005-04-19,8.7,27,28,104,113,8,9,3.4,598,606,48,49,2.2,2.8,7.8,7.8,NA,2005-04-18 12:00:00
"Rotoehu","3",2005-05-25,9.1,NA,14,101,93,NA,NA,2.2,NA,416,35,31,2.6,3.1,7.9,7.9,NA,2005-05-24 12:00:00
"Rotoehu","3",2005-06-21,6.8,12,12,88,101,5,50,3.5,481,461,35,35,2.3,1.1,7.8,7.8,NA,2005-06-20 12:00:00
"Rotoehu","3",2005-07-20,8.7,2,2,9,10,55,54,2.7,390,NA,NA,NA,2.1,2.3,7.8,7.9,NA,2005-07-19 12:00:00
"Rotoehu","3",2005-08-23,4.1,2,2,2,4,25,29,3.8,335,355,13,18,2.1,2.4,8,8,NA,2005-08-22 12:00:00
"Rotoehu","3",2005-09-23,2.8,NA,NA,NA,NA,42,22,4.4,NA,NA,21,16,1.6,1.5,7.9,7.9,NA,2005-09-22 12:00:00
"Rotoehu","3",2005-10-26,3.4,13,4,82,21,8,12,5.1,339,339,22,48,1.8,1.6,7.8,8,NA,2005-10-25 12:00:00
"Rotoehu","3",2005-11-15,4.4,7,3,35,3,2,1,3.3,315,344,23,21,3.3,2.7,7.8,8.1,NA,2005-11-14 12:00:00
"Rotoehu","3",2005-12-13,5.5,7,7,3,8,0.5,0.5,2.3,316.5,325.5,22,20,2,2.5,7.8,8.3,NA,2005-12-12 12:00:00
